pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,1.0,0.012445887445887446,0.07,0.69,0.7699999999999999,20.85199714716975,11.187120164907874,0.17,21.776311600676276,0.48160057095218595,0.02,0.23,22.229042571086463,
0.02,1.0,0.004629629629629629,0.07,0.69,0.7699999999999999,20.89304555767178,11.201255031487952,0.15,22.00434071906216,0.4553676065472586,0.02,0.1,23.598269333252347,
0.02,1.0,0.016203703703703706,0.07,0.69,0.7699999999999999,20.832193838508438,11.180276763095558,0.18,21.605659894925367,0.4951297059253731,0.02,0.28,21.580500885520834,
0.02,1.0,0.026639344262295087,0.07,0.69,0.7699999999999999,20.776976781472754,11.161115184488555,0.19,21.345115937077164,0.5349400981771593,0.02,0.39,19.864233626383083,
0.02,1.0,0.02243589743589744,0.07,0.69,0.7699999999999999,20.799256498025258,11.16886075159296,0.19,21.371891186920386,0.5185423598877799,0.02,0.35000000000000003,20.53895537870824,
0.02,2.0,0.3750000000000001,0.1,0.6499999999999999,0.7099999999999999,18.514441298472384,17.64750258467141,0.25,17.410370392180774,1.9804296321105634,0.01,0.9,7.910946543384272,
0.02,1.0,0.003136200716845879,0.07,0.69,0.7699999999999999,20.900866042525205,11.20394014391371,0.14,22.050744553143122,0.45069666958529986,0.02,0.07,23.859158942139082,
0.02,1.0,0.03273809523809524,0.07,0.69,0.7699999999999999,20.744562553964606,11.149813412208088,0.2,21.06037546763492,0.5591028249145936,0.02,0.44,18.942330668623057,
0.02,1.0,0.05303030303030304,0.07,0.69,0.7699999999999999,20.636008775759688,11.111693425407527,0.21,20.636008775759688,0.6425302732452449,0.02,0.56,16.29364963503649,
0.02,1.0,0.055232558139534906,0.07,0.69,0.7699999999999999,20.624167302259284,11.107511019877503,0.21,20.624167302259284,0.6516997051615073,0.02,0.5700000000000001,16.043909843606247,
0.02,2.0,4.1249999999999964,0.12,0.8499999999999999,0.6099999999999999,8.174091239685696,11.979539416321366,0.28,7.8101901241899645,9.176973395923204,0.01,0.99,0.30539110221711874,
0.02,1.0,0.015410958904109592,0.07,0.69,0.7699999999999999,20.836375139002577,11.181722978554706,0.18,21.61103813280813,0.4921691903533359,0.02,0.27,21.71926645901417,
0.02,1.0,0.013157894736842106,0.07,0.69,0.7699999999999999,20.848248294122882,11.18582587124948,0.17,21.77123853981655,0.4841235938459207,0.02,0.24,22.105310324556356,
0.02,1.0,0.027777777777777783,0.07,0.69,0.7699999999999999,20.770934002098606,11.15901120151079,0.19,21.337862662594883,0.5393737506378151,0.02,0.4,19.688828828461048,
0.02,1.0,0.005681818181818182,0.07,0.69,0.7699999999999999,20.8875312721657,11.199360211937947,0.15,21.996334778688073,0.458673571805598,0.02,0.12,23.41684217351121,
0.02,1.0,0.057539682539682536,0.07,0.69,0.7699999999999999,20.611750075278657,11.103120354092708,0.21,20.611750075278657,0.6612936482485235,0.02,0.58,15.789999999999996,
0.02,1.0,0.0451388888888889,0.07,0.69,0.7699999999999999,20.67834669381089,11.126609096994658,0.21,20.67834669381089,0.6095804285779669,0.02,0.52,17.252897526501766,
0.02,1.0,0.025537634408602152,0.07,0.69,0.7699999999999999,20.782821131437505,11.1631487837894,0.19,21.35213459313059,0.5306464632083127,0.02,0.38,20.036885304570756,
0.02,1.0,0.05995934959349593,0.07,0.69,0.7699999999999999,20.59871432490511,11.098505637013071,0.21,20.59871432490511,0.6713422443086452,0.02,0.59,15.531814780168379,
0.02,1.0,0.0017361111111111114,0.07,0.69,0.7699999999999999,20.90819103992236,11.206452817230552,0.14,22.06161427083276,0.44659448332970486,0.02,0.04,24.093128633560003,
0.02,1.0,0.030172413793103443,0.07,0.69,0.7699999999999999,20.758211456089807,11.1545770335138,0.19,21.322603703995807,0.5486894142795473,0.02,0.42,19.32949195522614,
0.02,1.0,0.04003267973856209,0.07,0.69,0.7699999999999999,20.705660256406887,11.136199349487564,0.2,21.017379896264867,0.5886240055914703,0.02,0.49,17.91903701463469,
0.02,1.0,0.02146464646464647,0.07,0.69,0.7699999999999999,20.80439717607976,11.170645247824373,0.19,21.378076427351825,0.5147473705424234,0.02,0.34,20.701218669758575,
0.02,1.0,0.003623188405797102,0.07,0.69,0.7699999999999999,20.89831669271729,11.203065121048422,0.15,22.012002044303884,0.45220308547537336,0.02,0.08,23.774411057525906,
0.02,1.0,0.0205223880597015,0.07,0.69,0.7699999999999999,20.809381750256627,11.172374591387733,0.18,21.576366525445184,0.5112310725245408,0.02,0.33,20.8538645083069,
0.02,1.0,0.004120879120879121,0.07,0.69,0.7699999999999999,20.895710504194472,11.202170309269325,0.15,22.008213053385745,0.4537682389166484,0.02,0.09,23.68698632591389,
0.02,2.0,0.5535714285714289,0.1,0.6699999999999999,0.7099999999999999,17.46458246073661,17.364847220184043,0.26,16.189198342175388,2.6538721568066093,0.01,0.93,5.543211652319784,
0.02,1.0,0.03409090909090909,0.07,0.69,0.7699999999999999,20.737358638024137,11.147296440329063,0.2,21.052408045410687,0.5645873066723776,0.02,0.45,18.744149945612733,
0.02,1.0,0.0012886597938144332,0.07,0.69,0.7699999999999999,20.910530640384003,11.20725488903479,0.14,22.065089748246425,0.44528261012569453,0.02,0.03,24.168858235607274,
0.02,1.0,0.04891304347826088,0.07,0.69,0.7699999999999999,20.65811677943553,11.119489582990916,0.21,20.658116779435524,0.6253571220731299,0.02,0.54,16.781023339317773,
0.02,1.0,0.006782945736434109,0.07,0.69,0.7699999999999999,20.88175664404131,11.197374588953897,0.16,21.920780961395565,0.46220561406973587,0.02,0.14,23.225959720308545,
0.02,2.0,0.6527777777777785,0.1,0.6699999999999999,0.7099999999999999,17.017901558530053,17.033832205266783,0.26,15.860318785650763,3.009054925166522,0.01,0.9400000000000001,4.660857853674481,
0.02,1.0,0.13949275362318841,0.07,0.69,0.7699999999999999,20.164573093618124,10.942053532088202,0.23,19.402028304789425,1.0105223075411158,0.02,0.77,9.828116757474941,
0.02,1.0,0.08459595959595963,0.07,0.69,0.7699999999999999,20.4653006837151,11.050975544916268,0.22,20.098457920773825,0.7760237919409896,0.02,0.67,13.240511257104094,
0.02,1.0,0.06798245614035088,0.07,0.69,0.7699999999999999,20.555400039469458,11.083133619044439,0.22,20.17877981870688,0.7053722594521659,0.02,0.62,14.712460293876967,
0.02,1.0,0.11858974358974358,0.07,0.69,0.7699999999999999,20.279525047892296,10.98395625269461,0.23,19.493152457947318,0.9215512780600096,0.02,0.74,10.918985426201488,
0.02,1.0,0.092741935483871,0.07,0.69,0.7699999999999999,20.420941604313946,11.035056896188264,0.22,20.058801638828072,0.8104402920203924,0.02,0.6900000000000001,12.616125709493476,
0.02,1.0,0.002192982456140351,0.07,0.69,0.7699999999999999,20.905801494644678,11.205633385480501,0.14,22.058066449899762,0.44793354238173644,0.02,0.05,24.016285509449244,
